layer,r,sd,n
1,0.6810233423407076,0.13867303704415754,4682
2,0.6826614486470406,0.09441886791725175,4682
3,0.6742308975799554,0.05746260721915966,4682
4,0.6758041509202551,0.07427732386950502,4682
5,0.6823636258261535,0.1200381448961903,4682
6,0.6850105342549803,0.12724654300182514,4682
7,0.6860741303601864,0.12977858705861867,4682
8,0.6893493211937881,0.1398295122352347,4682
9,0.691092386285771,0.1380611820701948,4682
10,0.6920999000486804,0.13680006338609021,4682
11,0.6956572210831947,0.14038500662878642,4682
12,0.6889989917397711,0.1352015304239155,4682
13,0.6918500805330875,0.12626090395397235,4682
14,0.6958911573732952,0.11777213625314,4682
15,0.6967699674930679,0.1081647510078883,4682
16,0.698585111943995,0.09302780978639892,4682
17,0.6998368060359622,0.07602011688875157,4682
18,0.7018665717777195,0.06426003860744495,4682
19,0.7044241881658835,0.053669317688063205,4682
20,0.7085762616332573,0.045824432252850274,4682
21,0.7115262877298374,0.04042584020809491,4682
22,0.7154658339298673,0.03844357404737538,4682
23,0.714816984689593,0.04062298858856851,4682
24,0.7098249190316024,0.04443779710534778,4682
