layer,r,sd,n
1,0.3730313596168421,0.010159144373479765,4863
2,0.39130250823407353,0.010514027430911486,4863
3,0.448591667086828,0.011439332932874762,4863
4,0.4569509185873349,0.011481567468045033,4863
5,0.469791682636755,0.01082168652898436,4863
6,0.4811913033855654,0.01028697575059778,4863
7,0.47674092382222055,0.011041886783324096,4863
8,0.4184956432210043,0.015232576186482423,4863
9,0.44353030476681926,0.01740341122468942,4863
10,0.45639752883886625,0.019012577492876482,4863
11,0.46525863699255676,0.021090268282821685,4863
12,0.4834869052179792,0.022011852412408592,4863
13,0.48110199692673045,0.022186354065297852,4863
14,0.487245749918316,0.023231471347032042,4863
15,0.5116286522210466,0.024640427954695746,4863
16,0.52343291436968,0.025717803248774075,4863
17,0.5238158599085216,0.02662394655441643,4863
18,0.5272172749041314,0.026778629824996444,4863
19,0.5300093519985155,0.028967080120103076,4863
20,0.5376128109192513,0.03029099892040857,4863
21,0.5444676362788,0.03059558551385545,4863
22,0.5471001364242535,0.029925599697113434,4863
23,0.5613341907641387,0.031096159822477206,4863
24,0.5751133442525926,0.03108517368158335,4863
