signal,human_si,wcs
S08510_L0239_E001,10.0,90.0
S08529_L0216_E001,71.4285714286,71.42857142857143
S08532_L0242_E001,0.0,14.285714285714286
S08537_L0229_E001,0.0,28.571428571428573
S08537_L0242_E001,0.0,14.285714285714286
S08540_L0206_E001,0.0,0.0
S08540_L0212_E001,0.0,0.0
S08554_L0218_E001,100.0,87.5
S08554_L0221_E001,100.0,87.5
S08555_L0216_E001,42.8571428571,100.0
S08558_L0227_E001,0.0,100.0
S08561_L0239_E001,0.0,14.285714285714286
S08566_L0218_E001,0.0,0.0
S08574_L0206_E001,0.0,0.0
S08574_L0212_E001,0.0,33.333333333333336
S08575_L0240_E001,70.0,80.0
S08576_L0229_E001,0.0,100.0
S08578_L0224_E001,0.0,0.0
S08579_L0219_E001,14.2857142857,28.571428571428573
S08579_L0225_E001,85.7142857143,28.571428571428573
S08582_L0215_E001,87.5,100.0
S08594_L0225_E001,30.0,60.0
S08594_L0231_E001,40.0,50.0
S08600_L0227_E001,42.8571428571,85.71428571428571
S08606_L0224_E001,0.0,66.66666666666667
S08614_L0218_E001,40.0,0.0
S08625_L0200_E001,62.5,100.0
S08627_L0219_E001,0.0,11.11111111111111
S08628_L0243_E001,100.0,100.0
S08636_L0243_E001,100.0,100.0
S08637_L0222_E001,100.0,100.0
S08644_L0219_E001,87.5,87.5
S08644_L0225_E001,100.0,75.0
S08645_L0240_E001,100.0,66.66666666666667
S08651_L0215_E001,70.0,100.0
S08652_L0219_E001,0.0,66.66666666666667
S08653_L0231_E001,42.8571428571,0.0
S08658_L0239_E001,0.0,71.42857142857143
S08660_L0231_E001,100.0,62.5
S08682_L0217_E001,11.1111111111,55.55555555555556
S08683_L0224_E001,0.0,77.77777777777777
S08685_L0240_E001,0.0,0.0
S08686_L0239_E001,0.0,0.0
S08689_L0239_E001,14.2857142857,85.71428571428571
S08690_L0227_E001,100.0,100.0
S08702_L0201_E001,0.0,71.42857142857143
S08703_L0229_E001,50.0,25.0
S08707_L0215_E001,0.0,0.0
S08710_L0243_E001,0.0,0.0
S08723_L0201_E001,25.0,87.5
S08725_L0217_E001,70.0,90.0
S08727_L0224_E001,0.0,88.88888888888889
S08732_L0200_E001,0.0,50.0
S08732_L0240_E001,87.5,50.0
S08739_L0236_E001,0.0,90.0
S08742_L0229_E001,28.5714285714,85.71428571428571
S08743_L0222_E001,0.0,71.42857142857143
S08745_L0218_E001,42.8571428571,100.0
S08745_L0221_E001,100.0,100.0
S08750_L0222_E001,57.1428571429,100.0
S08751_L0229_E001,0.0,10.0
S08752_L0209_E001,42.8571428571,0.0
S08753_L0219_E001,0.0,66.66666666666667
S08753_L0225_E001,44.4444444444,77.77777777777777
S08759_L0216_E001,0.0,0.0
S08765_L0201_E001,12.5,75.0
S08766_L0201_E001,50.0,75.0
